n_eff,n_ab,n_a,n_b,ref_double,mu,sd,q95,q99,lam
32.07534540002142,60,95,260,PLK4+STIL,1.6475656467494588,0.03646027901593601,1.6976728472419822,1.7586901329022953,1.6146175108982244
51.05326176840093,79,207,510,KIF18B+KIF2C,1.315885734193965,0.02158424826599547,1.3500330732472414,1.3635479599540743,1.4958551869715213
89.27706094937179,124,498,1009,FOSB+CEBPE,1.153813658258395,0.02065410072844568,1.1925795518371243,1.2046164901736958,1.3692103170784262
101.23609719930461,237,353,372,PTPN12+SNAI1,1.2138575270224785,0.017638223965977255,1.2431181549394426,1.254283903988682,1.4130621867793862
108.2738953867818,288,353,358,PTPN12+PTPN9,1.2093506808047791,0.02043184374005948,1.2469957922631354,1.2555367979663936,1.4187136237802211
116.20159105547769,206,530,579,TGFBR2+PRTG,1.1362722855108276,0.017020961414475348,1.1675644063586832,1.1774157165575216,1.361770836007379
126.9881390683224,249,372,968,SNAI1+UBASH3B,1.0905516413158916,0.015744987777765965,1.117161955450474,1.1291605684984447,1.3244601858401102
136.0531912479624,224,968,583,UBASH3B+ZBTB25,1.0902695760679395,0.01790709106239745,1.1246127526293412,1.131957580724396,1.3245014953717136
142.57637899808148,262,456,1154,TMSB4X+BAK1,1.0665797986821774,0.014916976348416693,1.0933606129171156,1.1073379879076284,1.3029521991974833
158.68840121804251,311,522,968,CBL+UBASH3B,1.0693658377168205,0.016440016570545342,1.098029633536697,1.1124439109220983,1.3046960561487966
191.5906951429578,319,1629,750,KLF1+FOXA1,1.0373922136223392,0.016802271751395738,1.0688049391741594,1.0783487499403226,1.2532305249393136
268.375229230111,1005,1009,624,CEBPE+RUNX1T1,1.052170746327422,0.016542336351221005,1.0791058239297213,1.0915675204991313,1.2307576670841414
